Model Name,Train Accuracy,Validation Accuracy,Accuracy Difference
Decision Tree,0.40350877192982454,0.35353535353535354,0.049973418394471
Random Forest,0.506113769271664,0.44019138755980863,0.06592238171185533
SVM,0.5599858231437179,0.5114300903774588,0.04855573276625913
KNN,0.5069998227892965,0.5013290802764487,0.005670742512847715
XGBoost,0.7143363459152933,0.4869750132908028,0.2273613326244905
LightGbm,0.5401382243487507,0.46464646464646464,0.07549175970228605
